Lab_id,SampleType,SampleId,ceramideName,Unit,replicate,Protocol,Instrument,MassAnalyzerType,C_SinglePoint,Calibration Line 1,Calibration Line 2,Avg_C_Adj
02a,NIST YAA,yA-A 6,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.01699536,0.025876859,0.025616768,0.025746813
02a,NIST YAA,yA-A 6,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.865979381,0.907633963,0.865076972,0.886355468
02a,NIST YAA,yA-A 6,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.273056058,0.301914288,0.286455493,0.29418489
02b,NIST SRM,SRM 1,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.191198225,0.145472103,0.128228908,0.136850506
02b,NIST SRM,SRM 1,Cer d18:1/16:0,µmol/L,2,Standard,QTRAP 6500+,QQQ,0.187878788,0.142916842,0.125987898,0.13445237
02b,NIST SRM,SRM 1,Cer d18:1/16:0,µmol/L,3,Standard,QTRAP 6500+,QQQ,0.18561747,0.141176108,0.124461242,0.132818675
02b,NIST SRM,SRM 1,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.029761905,0.045245423,0.045579718,0.04541257
02b,NIST SRM,SRM 1,Cer d18:1/18:0,µmol/L,2,Standard,QTRAP 6500+,QQQ,0.029523142,0.044876741,0.045209181,0.045042961
02b,NIST SRM,SRM 1,Cer d18:1/18:0,µmol/L,3,Standard,QTRAP 6500+,QQQ,0.029545455,0.044911195,0.045243809,0.045077502
02b,NIST SRM,SRM 1,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,1.256544503,1.32077298,1.26120316,1.29098807
02b,NIST SRM,SRM 1,Cer d18:1/24:0,µmol/L,2,Standard,QTRAP 6500+,QQQ,1.318681319,1.387241325,1.32441683,1.355829078
02b,NIST SRM,SRM 1,Cer d18:1/24:0,µmol/L,3,Standard,QTRAP 6500+,QQQ,1.274193548,1.339652333,1.27915807,1.309405201
02b,NIST SRM,SRM 1,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.456363636,0.508523035,0.478548191,0.493535613
02b,NIST SRM,SRM 1,Cer d18:1/24:1,µmol/L,2,Standard,QTRAP 6500+,QQQ,0.442831216,0.493070399,0.464189344,0.478629871
02b,NIST SRM,SRM 1,Cer d18:1/24:1,µmol/L,3,Standard,QTRAP 6500+,QQQ,0.436379928,0.48570369,0.457344076,0.471523883
02b,NIST SRM,SRM 2,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.170087977,0.129221698,0.113977007,0.121599352
02b,NIST SRM,SRM 2,Cer d18:1/16:0,µmol/L,2,Standard,QTRAP 6500+,QQQ,0.180555556,0.137279509,0.121043854,0.129161682
02b,NIST SRM,SRM 2,Cer d18:1/16:0,µmol/L,3,Standard,QTRAP 6500+,QQQ,0.185117302,0.140791085,0.12412357,0.132457327
02b,NIST SRM,SRM 2,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.029202279,0.044381286,0.044711235,0.044546261
02b,NIST SRM,SRM 2,Cer d18:1/18:0,µmol/L,2,Standard,QTRAP 6500+,QQQ,0.027902098,0.042373633,0.042693484,0.042533558
02b,NIST SRM,SRM 2,Cer d18:1/18:0,µmol/L,3,Standard,QTRAP 6500+,QQQ,0.02648686,0.040188317,0.040497176,0.040342746
02b,NIST SRM,SRM 2,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,1.285714286,1.351976175,1.290878466,1.321427321
02b,NIST SRM,SRM 2,Cer d18:1/24:0,µmol/L,2,Standard,QTRAP 6500+,QQQ,1.260989011,1.325527313,1.265724693,1.295626003
02b,NIST SRM,SRM 2,Cer d18:1/24:0,µmol/L,3,Standard,QTRAP 6500+,QQQ,1.277142857,1.342807236,1.282158491,1.312482864
02b,NIST SRM,SRM 2,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.436685289,0.48605238,0.457668084,0.471860232
02b,NIST SRM,SRM 2,Cer d18:1/24:1,µmol/L,2,Standard,QTRAP 6500+,QQQ,0.437847866,0.487379925,0.458901661,0.473140793
02b,NIST SRM,SRM 2,Cer d18:1/24:1,µmol/L,3,Standard,QTRAP 6500+,QQQ,0.4315197,0.480153807,0.452187032,0.46617042
02b,NIST SRM,SRM 3,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.181402439,0.13793143,0.1216156,0.129773515
02b,NIST SRM,SRM 3,Cer d18:1/16:0,µmol/L,2,Standard,QTRAP 6500+,QQQ,0.18454142,0.140347778,0.123734782,0.13204128
